"Step","Group: SmallV2 - test_acc","Group: SmallV2 - test_acc__MIN","Group: SmallV2 - test_acc__MAX","Group: L5V2 - test_acc","Group: L5V2 - test_acc__MIN","Group: L5V2 - test_acc__MAX","Group: L5BPTT - test_acc","Group: L5BPTT - test_acc__MIN","Group: L5BPTT - test_acc__MAX","Group: SmallBPTT - test_acc","Group: SmallBPTT - test_acc__MIN","Group: SmallBPTT - test_acc__MAX"
"0","24.737499999999997","20.6","27.7","22.2","11.9","30.1","31.987500000000004","25.7","37","28.2","16.4","37.5"
"1","39.21249999999999","30.7","43.8","37.75","18.6","46","40.75","36.8","46.5","39.125","28.5","45.9"
"2","38.7125","32","45.3","36.625","28","45.4","35.825","28.8","44.3","32.962500000000006","26.8","41.5"
"3","49.775","44.5","53.7","47.0875","25.7","60","40.512499999999996","32.9","52.1","38.625","28.2","54"
"4","47.6","45.4","50.5","47.7375","30.8","55.3","42.775","37.8","48.1","38.56249999999999","26.9","43.2"
"5","56.12500000000001","44.1","61.6","57.612500000000004","35.8","64.3","50.887499999999996","46.5","56.1","49.45","41.6","56.7"
"6","50.2125","44.4","56.4","56.4375","41.3","67.3","44.7875","41.2","50.6","42.65","32.8","49.4"
"7","52.474999999999994","42.5","57.2","60.125","36.3","72.1","50.61249999999999","44","55.3","48.3","42","54.8"
"8","67.4375","56.2","73.1","68.2625","37.9","79.3","53.9625","44.5","61.6","50.012499999999996","39.9","59.7"
"9","70.0125","63.4","75.2","75.575","62.9","81.8","59.9","57.2","66","54.72500000000001","52.3","60.8"
"10","70.16250000000001","60.9","77.2","72.53750000000001","58.7","78.7","54.512499999999996","42.3","66.3","41.525000000000006","30.8","64.2"
"11","68.1625","59","74.7","71.78750000000001","54.9","81.9","73.4625","68.2","78.6","63.349999999999994","53.3","70.5"
"12","67.52499999999999","63.3","71.7","71.6375","55.9","79.3","61.68750000000001","55.1","68","55.3875","50","59.9"
"13","74.1125","67.3","78.5","78.1875","71","85.3","66.725","62.6","71.9","53.099999999999994","46","69.3"
"14","70.275","59.2","76.1","72.4","56.1","80.8","75.075","70.4","78","64.1875","57.1","71.8"
"15","69.95","64.4","75.2","74.175","65.1","78.4","74.1125","66.4","79.8","64.05000000000001","49.4","73.2"
"16","72.8625","63.4","80.4","73.4125","53.3","83.6","74.9625","67.8","80.8","67.63750000000002","64.3","74.5"
"17","76.675","70.6","81.4","80.47500000000001","69","85.9","76","69.8","78.1","70.47500000000001","64.7","76"
"18","79.28750000000001","73.3","84.7","84.075","74","89.1","75.7875","68.4","81.5","66.5625","57.7","74"
"19","70.375","56.1","79.8","71.9875","48","88.5","80.55","77.3","82.6","72.58749999999999","69.2","77.4"
"20","80.41250000000001","74.3","85.4","78.625","62.4","87.2","81.96249999999999","76.8","86","75.98750000000001","72","83.5"
"21","81.2625","76.5","84.1","82.42500000000001","66.2","89.7","79.7875","74.3","83.1","70.8125","63","79.9"
"22","82.5125","76","87","81.88749999999999","59.4","89.7","82.7125","77.5","87.3","79.8","73.5","85.4"
"23","83.02499999999999","76.9","85.8","87.85","82.3","90.9","86.12499999999999","80.8","90.4","79.1375","74.4","83.7"
"24","79.7","71.9","84.4","79.8","65.8","85.7","84.1375","79.5","87.8","78.3","73.7","81.5"
