"Step","Group: small_BPTT - test_acc","Group: small_BPTT - test_acc__MIN","Group: small_BPTT - test_acc__MAX","Group: Large_BPTT - test_acc","Group: Large_BPTT - test_acc__MIN","Group: Large_BPTT - test_acc__MAX","Group: skip_BPTT - test_acc","Group: skip_BPTT - test_acc__MIN","Group: skip_BPTT - test_acc__MAX","Group: skip - test_acc","Group: skip - test_acc__MIN","Group: skip - test_acc__MAX","Group: Large - test_acc","Group: Large - test_acc__MIN","Group: Large - test_acc__MAX","Group: Small - test_acc","Group: Small - test_acc__MIN","Group: Small - test_acc__MAX"
"0","25.1","16.4","30.1","23.779999999999998","20.7","31.1","26.540000000000003","20.5","32.9","28.439999999999998","22.2","39.1","21.080000000000002","14","28.6","28.02","19.9","34.3"
"1","41.56","34.3","46.8","39","34.4","43.7","36.080000000000005","31.8","39.9","42.17999999999999","37.8","46","38.7","29.3","42.4","38.84","34.6","43.9"
"2","42","38.6","46.5","33.86","29.5","36.9","34.16","32.6","36.3","35.4","28.8","43.1","27.840000000000003","24.3","35.6","38.28","29.8","43.2"
"3","43.739999999999995","39.7","50.1","36.96","23","42.5","36.44","34.6","40","47.74","41.6","57.5","48.6","37.5","55.4","47.42","37.8","54.5"
"4","42.239999999999995","39.9","47.9","41.260000000000005","32","47.3","41.08","35.8","46.6","44.980000000000004","38.3","49.9","44.02","39.2","46.2","42.54","36.7","45.3"
"5","53.4","50.2","56","46.040000000000006","31.7","52.4","47.56","42.9","54.9","54.46","47.4","59.9","48.82","36.1","55.4","51.18000000000001","48.8","52.6"
"6","51.540000000000006","45","56.7","44.9","32.1","57.8","50.220000000000006","42.5","53.7","42.940000000000005","37.2","51.8","37.49999999999999","32.3","41.8","41.779999999999994","39.8","43"
"7","51.620000000000005","46.5","57.6","47.379999999999995","41.3","57.2","48.98","43.4","52.8","49.78000000000001","40.9","57.3","47.839999999999996","40.1","53.3","52.92","49.6","55.9"
"8","55.239999999999995","51.7","57.7","44.08","36.6","56.3","53.379999999999995","47.2","58.7","61.24000000000001","53.8","66","59","52.4","66.2","60.339999999999996","54.4","62.6"
"9","52.379999999999995","50.5","53.5","53.239999999999995","46.2","56.9","56.61999999999999","55.5","58.8","60.92","53.3","67.1","60.2","56.7","65.4","61.52","60.5","63"
"10","57.02","49.1","62.7","52.779999999999994","42.3","68.9","50.36","38.4","63.1","67.04","60.6","74.6","61.620000000000005","53.7","65.4","63.839999999999996","60.9","68.3"
"11","66.38","61.1","69.9","60.6","52.2","71.4","65.35999999999999","61","68.9","62.739999999999995","55.1","69.1","61.84000000000001","44.3","69.7","67.34","62.2","71.1"
"12","61.02","55.8","64.5","52.08","40.2","60","61.84000000000001","55.8","67.9","60.739999999999995","50.3","72.2","59.3","54.6","61.8","60.839999999999996","54.6","66.4"
"13","60.040000000000006","55.1","65.4","57.96","48","64.3","60.86","51.7","65.3","73.9","64.5","79.1","67.44000000000001","46.9","75","69.76","67.5","71.5"
"14","67.86","65.1","70","63.8","51","69.9","69.86","65","74.4","67.9","63.3","71.1","73.52000000000001","65","78.9","71.8","69.2","74.4"
"15","73.91999999999999","71.1","77.3","69.44000000000001","53.4","75.4","74.52000000000001","70.8","77","67.94","63.7","72.3","65.36000000000001","54.7","73.4","68.72","64.3","72.8"
"16","72.8","69","75.8","69.35999999999999","59.4","75","72.92","67.7","80.9","70","51.3","79.8","71.82000000000001","49.5","78.6","74.38","71.3","76.7"
"17","74.26","72.9","76.7","67.86","54.2","75.6","76.32000000000001","73.1","79","74.74000000000001","72.6","76.6","70.1","56.2","76","73.03999999999999","69.6","75.1"
"18","72.44","70.8","77","70.74","57","79.6","73.22","63.6","81.6","76.41999999999999","71.7","81","79.1","70.2","82.5","77.62","75.8","79.2"
"19","73.82","71","75.2","74.02000000000001","69.7","77.7","74.46","69.8","78.5","81.04","79.4","81.8","77.64","68.2","82.3","77.72","76.6","80.8"
"20","80.03999999999999","76.8","83.4","73.97999999999999","56.5","82.1","78.9","73.4","82.7","74.85999999999999","63.7","80.6","80.7","73.5","83.5","78.34","73.1","81"
"21","76.5","70.1","81.7","70.55999999999999","59.6","80.6","75.82","73.2","79.3","78.47999999999999","76.1","81.5","77.64","65.6","83.3","78.12","75.2","80"
"22","81.67999999999999","80.5","82.9","79.86000000000001","68.5","86.4","82.32000000000001","76.5","86.8","82.2","78.4","83.9","79.82000000000001","68.4","83.6","80.8","78.1","84.4"
"23","77.52000000000001","75.7","79.5","77.17999999999999","72.1","82.5","78.6","76.9","79.5","78.88","70.1","85.9","75.16","71.9","79.2","79.02000000000001","75.7","80.8"
"24","82.56","81.4","84.2","80.08","73.8","85.2","82.03999999999999","73.1","87.8","82.14000000000001","79.1","85.4","83.4","75.2","89.4","84.58000000000001","82.9","86.4"
"25","81.62","79.3","83","78.96000000000001","66.7","85.2","84.8","82.8","86.8","78.58","64.5","85","79.60000000000001","73.3","83.6","78.82000000000001","75.8","80.3"
"26","82.12","79.3","83.7","79.02000000000001","73.5","84","80.46000000000001","76.4","86.7","83.4","79.6","85.9","78.52000000000001","67.6","83.6","82.58","78.7","84.9"
"27","77.72","71.7","81.1","78.55999999999999","72.6","85.7","75.23999999999998","66.5","84.4","82.3","80.6","84.3","80.75999999999999","77.4","83.1","80.02000000000001","79.1","81.6"
"28","86.1","84","87.5","77.46","54.8","87.1","84.38000000000001","80.3","88.3","79.11999999999999","75.6","83.1","83.82","75.6","87.3","82.38","79.1","84.6"
"29","79.6","75.8","84.1","73.72","61.8","86.8","81.7","76.8","85.2","81.14000000000001","72.3","88.4","83.72","72.6","87.3","82.02","78.6","85.3"
"30","81.9","79.6","84.4","82.02000000000001","69.2","88","81.14","71.4","85","80.9","77","86.6","83.6","78.6","86.8","81.9","78","83.9"
"31","83.66","81.1","86.4","84.91999999999999","82.7","88","85.56","82","89.1","80.98","77.3","83.4","84.2","80.6","86.9","83.36","81.8","85"
"32","86.47999999999999","84.5","88.2","88.3","85.3","90.3","85.94","81.2","88.8","87.47999999999999","81.4","90.1","85.72","79.7","88.6","87.32000000000001","86.3","88.5"
