"Name","State","Notes","User","Tags","Created","Runtime","Sweep","data_config.corr_noise_scale","data_config.duration","data_config.final_seq_length","data_config.iid_noise_scale","data_config.max_translation","data_config.num_samples","data_config.pad","data_config.padding","data_config.prepad","data_config.scale_coeff","data_config.seed","data_config.shear_scale","data_config.shuffle_seq","data_config.template_len","data_config.train_split","data_config.url","general_config.device","general_config.dt","general_config.seed","general_config.short_training_run","general_config.visual_kernel","model_config.Ins_size","model_config.LP_size","model_config.Tau0","model_config.Tau1","model_config.Tau2","model_config.Tau3","model_config.activation","model_config.n_in","model_config.n_out","model_config.num_Ins_layers","model_config.num_LP_layers","model_config.reducedNonlinear","train_config.answer_period","train_config.batch_size","train_config.learning_rate","train_config.num_epochs","train_config.num_prefetch_batch","train_config.num_workers","model_config.Tau4","model_config.answer_period","model_config.rho_scale","model_config.skip_connection","model_config.upsample","train_config.method","train_config.update_interval","epoch","test_acc","test_loss","train_loss","Best Test Acc"
"true-forest-178","finished","-","","Keep","2026-03-15T22:38:56.000Z","2515","","0.25","360","360","0.02","48","5000","","[36,60]","0","0.4","42","0.75","false","12","0.8","https://github.com/greydanus/mnist1d/raw/master/mnist1d_data.pkl","cuda","1","3407","false","false","[72]","[36,54,60,60]","[1,10,6]","[3,6]","[2,7]","[2.5,8]","tanh","1","10","1","4","false","","100","0.01","150","","","","360","0.6","false","false","BPTT","-1","150","96.1","0.14871297776699066","0.18899856507778168","96.1"
"sunny-dew-177","finished","-","","Keep","2026-03-15T22:36:40.000Z","2520","","0.25","360","360","0.02","48","5000","","[36,60]","0","0.4","42","0.75","false","12","0.8","https://github.com/greydanus/mnist1d/raw/master/mnist1d_data.pkl","cuda","1","428","false","false","[120]","[60,90,90,90]","[1,10,6]","[3,6]","[2,7]","[2.5,8]","tanh","1","10","1","4","false","","100","0.01","150","","","","360","0.6","false","false","BPTT","-1","150","94.7","0.1487610787153244","0.18872062861919403","95.1"
"flowing-capybara-176","finished","-","","Keep","2026-03-15T21:57:34.000Z","2456","","0.25","360","360","0.02","48","5000","","[36,60]","0","0.4","42","0.75","false","12","0.8","https://github.com/greydanus/mnist1d/raw/master/mnist1d_data.pkl","cuda","1","42","false","false","[120]","[60,90,90,90]","[1,10,6]","[3,6]","[2,7]","[2.5,8]","tanh","1","10","1","4","false","","100","0.01","150","","","","360","0.6","false","false","BPTT","-1","150","96.7","0.14492188394069672","0.1865018755197525","96.8"
"blooming-field-175","finished","-","","Keep","2026-03-15T21:53:34.000Z","2533","","0.25","360","360","0.02","48","5000","","[36,60]","0","0.4","42","0.75","false","12","0.8","https://github.com/greydanus/mnist1d/raw/master/mnist1d_data.pkl","cuda","1","3407","false","false","[120]","[60,90,90,90]","[1,10,6]","[3,6]","[2,7]","[2.5,8]","tanh","1","10","1","4","false","","100","0.01","150","","","","360","0.6","false","false","BPTT","-1","150","96.7","0.14366663992404938","0.1855713576078415","97"
"morning-lake-174","finished","-","","Keep","2026-03-15T21:06:49.000Z","3011","","0.25","360","360","0.02","48","5000","","[36,60]","0","0.4","42","0.75","false","12","0.8","https://github.com/greydanus/mnist1d/raw/master/mnist1d_data.pkl","cuda","1","781","false","false","[72]","[60,60,60,60,72]","[1,10,6]","[3,6]","[2,7]","[1,8]","tanh","1","10","1","5","false","","100","0.01","150","","","[2.5,6.6]","360","0.6","true","false","BPTT","-1","150","95.9","0.14485812187194824","0.1866435408592224","96.3"
"super-planet-173","finished","-","","Keep","2026-03-15T21:02:24.000Z","3027","","0.25","360","360","0.02","48","5000","","[36,60]","0","0.4","42","0.75","false","12","0.8","https://github.com/greydanus/mnist1d/raw/master/mnist1d_data.pkl","cuda","1","428","false","false","[72]","[60,60,60,60,72]","[1,10,6]","[3,6]","[2,7]","[1,8]","tanh","1","10","1","5","false","","100","0.01","150","","","[2.5,6.6]","360","0.6","true","false","BPTT","-1","150","95.8","0.14613032341003418","0.18748605251312256","96"
"genial-resonance-172","finished","-","","Keep","2026-03-15T20:16:13.000Z","3015","","0.25","360","360","0.02","48","5000","","[36,60]","0","0.4","42","0.75","false","12","0.8","https://github.com/greydanus/mnist1d/raw/master/mnist1d_data.pkl","cuda","1","42","false","false","[72]","[60,60,60,60,72]","[1,10,6]","[3,6]","[2,7]","[1,8]","tanh","1","10","1","5","false","","100","0.01","150","","","[2.5,6.6]","360","0.6","true","false","BPTT","-1","150","95.6","0.14298297464847565","0.1854779422283173","95.9"
"divine-deluge-171","finished","-","","Keep","2026-03-15T20:12:30.000Z","2979","","0.25","360","360","0.02","48","5000","","[36,60]","0","0.4","42","0.75","false","12","0.8","https://github.com/greydanus/mnist1d/raw/master/mnist1d_data.pkl","cuda","1","0","false","false","[72]","[60,60,60,60,72]","[1,10,6]","[3,6]","[2,7]","[1,8]","tanh","1","10","1","5","false","","100","0.01","150","","","[2.5,6.6]","360","0.6","true","false","BPTT","-1","150","96.6","0.1445312649011612","0.1864856630563736","96.8"
"light-frog-170","finished","-","","Keep","2026-03-15T19:25:09.000Z","3043","","0.25","360","360","0.02","48","5000","","[36,60]","0","0.4","42","0.75","false","12","0.8","https://github.com/greydanus/mnist1d/raw/master/mnist1d_data.pkl","cuda","1","3407","false","false","[72]","[60,60,60,60,72]","[1,10,6]","[3,6]","[2,7]","[1,8]","tanh","1","10","1","5","false","","100","0.01","150","","","[2.5,6.6]","360","0.6","true","false","BPTT","-1","150","95","0.14697997272014618","0.18760526180267337","95.2"
"breezy-mountain-169","finished","-","","Keep","2026-03-15T19:02:07.000Z","4177","","0.25","360","360","0.02","48","5000","","[36,60]","0","0.4","42","0.75","false","12","0.8","https://github.com/greydanus/mnist1d/raw/master/mnist1d_data.pkl","cuda","1","3407","false","false","[72]","[60,60,60,60,72]","[1,10,6]","[3,6]","[2,7]","[1,8]","tanh","1","10","1","5","false","","100","0.01","150","","","[2.5,6.6]","360","0.6","true","false","KP","-1","150","95.2","0.1469685584306717","0.14518772289156914","95.5"
