"Step","Group: L5OSTL - test_acc","Group: L5OSTL - test_acc__MIN","Group: L5OSTL - test_acc__MAX","Group: SmallOSTL - test_acc","Group: SmallOSTL - test_acc__MIN","Group: SmallOSTL - test_acc__MAX"
"0","26.183333333333334","20.6","28","26.612499999999997","21.4","30.1"
"1","38.93333333333333","34.7","44.9","34.112500000000004","28.1","40.7"
"2","32.73333333333333","26.3","41.3","31.087499999999995","20.7","36.6"
"3","43.98333333333333","38.9","48.7","46.5375","37.9","51.4"
"4","49.16666666666666","45.3","53.7","43.5875","40.8","46.9"
"5","56.099999999999994","49.8","62.8","52.025","39.6","59.5"
"6","47.88333333333333","41.5","54.9","44.8125","31","49.8"
"7","52.23333333333333","42.5","60.7","49.162499999999994","44.2","54.9"
"8","59.35","48.3","64","61.025","50.1","65.6"
"9","60.65","53.7","66.1","61.31250000000001","57.1","65.7"
"10","68.3","64.8","71.1","64.7625","44.1","73.3"
"11","68.11666666666666","56.6","78.1","62.05","49.1","73"
"12","64.2","54.1","71.6","62.800000000000004","56.4","69.3"
"13","67.89999999999999","53.9","79.7","63.775","57.3","77.7"
"14","68.26666666666667","66.2","70.7","62.32500000000001","44.6","69.2"
"15","71.00000000000001","65.2","77.1","60.95","52.6","68.4"
"16","68.25","55.4","81.3","63.737500000000004","50.2","74.8"
"17","77.13333333333334","68.7","82.1","71.0125","67.6","77.1"
"18","76.66666666666667","65.5","88.1","72.5875","63.1","79.2"
"19","74.28333333333335","62.6","83.2","71.15","60.2","77.5"
"20","75.05000000000001","52.1","88.8","72.55","63.5","79.4"
"21","77.64999999999999","71.6","84","68.2125","56.8","77.2"
"22","83.01666666666667","78.1","86.2","73.2875","60.6","82.9"
"23","78.73333333333333","52.7","89.5","74.3625","62.3","82.8"
"24","78.83333333333334","75.5","82.7","76.26249999999999","68.3","84.8"
"25","78.48333333333333","54.8","88.6","70.0625","57.6","80.4"
"26","77.85","73.3","81.4","74.7625","64.4","83.1"
"27","78.98333333333333","64.8","85.6","70.175","62.9","76.1"
"28","81.86666666666666","74.4","87.7","74.41250000000001","67","82.7"
